en,ml
abbey,കന്യകാമഠം
abbey,മഠത്തോട് ബന്ധപ്പെട്ട ദേവാലയം
abbey,സന്യാസിമഠം
abbot,മഠാധിപതി
abbreviate,സംക്ഷേപിക്കുക
abbreviate,സംഗ്രഹിക്കുക
abbreviate,ചുരുക്കുക
abbreviation,സംഗ്രഹിക്കല്‍
abbreviation,ചുരുക്കം
abbreviation,ചുരുക്കെഴുത്ത്.
abdicate,പദവി ഉപേക്ഷിക്കുക
abdicate,സ്ഥാനത്യാഗം ചെയ്യുക
abdicate,രാജി വയ്ക്കുക
abdomen,അടിവയര്‍
abdominal,ഉദരസംബന്ധമായ
abduct,തട്ടിക്കൊണ്ടുപോകുക
abhor,അറപ്പ് തോന്നുക
abhor,കഠിനമായി വെറുക്കുക
abhor,ഇഷ്ടപ്പെടാതിരിക്കുക
abide,കാത്തിരിക്കുക
abide,തുടരുക
abide,സഹിക്കുക
ability,കരുത്ത്
ability,ശേഷി
ability,പ്രാപ്തി
ability,യോഗ്യത
abject,വിലയില്ലാത്ത
abject,അധമമായ
abject,നിക്യഷ്ടമായ
abjure,ശപഥപൂര്‍വം ഉപേക്ഷിക്കുക
abjure,ആണയിട്ട് ത്യജിക്കുക
abjure,ഇല്ലെന്ന് ആണയിടുക
ablaze,കത്തുന്ന
ablaze,വൈകാരികമായി ഇളകിമറിഞ്ഞ
ablaze,ജ്വലിക്കുന്ന
able,ശക്തമായ
able,കഴിവുള്ള
able,കാര്യശേഷിയുള്ള
able,യോഗ്യമായ
abnormal,പതിവില്ലാത്ത
abnormal,വിപരീതമായ
abnormal,അസാധാരണമായ
abnormal,വിചിത്രമായ
aboard,കപ്പലില്‍
aboard,വിമാനത്തില്‍
abode,വീട്
abode,വാസസ്ഥാനം
abode,താമസം
abode,വസതി
abolish,റദ്ദാക്കുക
abolish,വേണ്ടെന്നു വയ്ക്കുക
abolish,ഇല്ലാതാക്കുക
aboriginal,പുരാതനമായ
aboriginal,ആദിമനിവാസികളെ സംബന്ധിച്ച
abound,വളരെയധികം ഉണ്ടായിരിക്കുക
abound,കരകവിയുക
abound,നിറഞ്ഞിരിക്കുക
about,ചുറ്റും
about,ഏകദേശം
about,കുറിച്ച്
about,സംബന്ധിച്ച്
above,മുകളില്‍
above,മീതെ
above,മേല്പറഞ്ഞ
abreast,ഒപ്പത്തിനൊപ്പം
abreast,പിന്നിലാകാതെ
abreast,തുല്യത പാലിച്ച്
abridge,ചുരുക്കുക
abridge,കുറയ്ക്കുക
abridge,സംഗ്രഹിക്കുക
abroad,പരക്കെ
abroad,വിദേശത്ത്
abrupt,പാറ നിറഞ്ഞ
abrupt,അപ്രതീക്ഷിതമായ
abrupt,പെട്ടെന്നുള്ള
abscess,കുരു
abscess,പരു
abscess,വീക്കം
abscond,ശിക്ഷയില്‍ നിന്ന് ഒളിഞ്ഞ് നില്‍ക്കുക
abscond,ഒളിച്ചോടിപ്പോകുക
absent,മനപ്പൂര്‍വം വരാതിരിക്കുക
absent,നിലവിലില്ലാത്ത
absent,വരാത്ത
absent,ശ്രദ്ധയില്ലാത്ത
absentee,വരാത്തവന്‍
absentee,ഹാജരില്ലാത്തവന്‍
absence,ഹാജരില്ലായ്മ
absence,അസാന്നിധ്യം
absence,അഭാവം
absence,വിയോഗം
absolute,അപരിമിതമായ
absolute,പരിപൂര്‍ണമായ
absolute,കലര്‍പ്പില്ലാത്ത
absolute,വ്യക്തമായ.
absolve,ക്ഷമിക്കുക
absolve,കുറ്റവിമുക്തമാക്കുക
absolve,വിട്ടുകൊടുക്കുക
absolve,മാപ്പു കൊടുക്കുക
absolution,വിമോചനം
absolution,മാപ്പ്
absolution,കുറ്റവിമുക്തി
absorb,വലിച്ചെടുക്കുക
absorb,ആഗിരണം ചെയ്യുക
absorb,ഉള്‍ക്കൊള്ളുക
absorb,ആണ്ടുപോവുക
abstain,സ്വമേധയാ വേണ്ടെന്നു വയ്ക്കുക
abstain,വര്‍ജിക്കുക
abstain,വിട്ടുനില്ക്കുക
abstainer,വിട്ടുനില്ക്കുന്നവന്‍
abstainer,ലഹരിപദാര്‍ത്ഥ വര്‍ജ്ജകന്‍
abstract,മോഷ്ടിക്കുക
abstract,വേര്‍തിരിച്ചെടുക്കുക
abstract,സംഗ്രഹിക്കുക
abstraction,വേര്‍തിരിക്കല്‍
abstraction,അമൂര്‍ത്തഗുണം
abstruse,ഗഹനമായ
abstruse,മനസ്സിലാക്കാന്‍ പ്രയാസമുള്ള
abstruse,അഗാധമായ
absurd,പരിഹാസ്യമായ
absurd,അസംബന്ധമായ
absurd,യുക്തിഹീനമായ
absurd,അബദ്ധമായ
abundance,സമൃദ്ധി
abundance,ധാരാളിത്തം
abundance,സുലഭത
abundance,ആധിക്യം
abuse,ദുര്‍വിനിയോഗം ചെയ്യുക
abuse,അപമാനിക്കുക
abuse,ശകാരിക്കുക
abuse,മോശമായി പെരുമാറുക
abyss,അടി കാണാത്ത ഗര്‍ത്തം
abyss,അഗാധത
abyss,കുഴി
acacia,മഞ്ഞയോ വെള്ളയോ പൂക്കളോടുകൂടിയ ഒരുതരം അരളി
accede,സമ്മതിക്കുക
accede,അംഗീകരിക്കുക
accede,സിംഹാസനാരോഹണം ചെയ്യുക.
accelerate,വേഗപ്പെടുത്തുക
accelerate,വേഗത വര്‍ദ്ധിപ്പിക്കുക
accelerate,ത്വരിതപ്പെടുത്തുക+
accelerator,വാഹനത്തിന്റെയും മറ്റും വേഗം കൂട്ടാനുള്ള ഒരു ഉപകരണം
accent,ശബ്ദക്രമീകരണം
accent,സ്വരങ്ങളിലെ ഊന്നല്‍
accent,ഒരു സംഗതിക്കു കൊടുക്കുന്ന സവിശേഷ ഊന്നല്‍
accentuate,ഊന്നിപ്പറയുക
accentuate,ദൃഢമാക്കിപ്പറയുക
accentuate,തെളിച്ചുകാണിക്കുക
accept,സ്വീകരിക്കുക
accept,അംഗീകരിക്കുക
accept,വിശ്വസിക്കുക
access,പ്രവേശനമാര്‍ഗം
access,ഇടവഴി
access,വിവരം കിട്ടുവാന്‍ ഒരു കംമ്പ്യൂട്ടര്‍ ഫയല്‍ ഉപയോഗിക്കല്‍
accession,സ്ഥാനാരോഹണം
accessory,കുറ്റക്യത്യത്തില്‍ സഹായിക്കുന്നവന്‍
accessory,കൂട്ടാളി
accessory,വേഷത്തിന്റെ ഭാഗമായ ചെറിയ വസ്തുക്കള്‍
accident,ആകസ്മികസംഭവം
accident,അപകടം
accident,അത്യാഹിതം
acclaim,കൈകൊട്ടുക
acclaim,കൈകൊട്ടിയോ ആര്‍ത്തുവിളിച്ചോ അംഗീകരിക്കുക
acclaim,സ്വീകരിക്കുക
acclimatize,ഒരു പുതിയ കാലാവസ്ഥയുമായി പൊരുത്തപ്പെടുക
accommodate,അനുരൂപമാക്കുക
accommodate,പാര്‍പ്പിക്കുക
accommodate,സ്ഥലസൗകര്യം നല്‍കുക
accommodate,ഉള്‍ക്കൊള്ളുക
accommodation,താമസസൗകര്യം
accommodation,പൊരുത്തപ്പെടല്‍
accommodation,ഒത്തുതീര്‍പ്പ്
accompany,കൂടെച്ചെല്ലുക
accompany,അകമ്പടി സേവിക്കുക
accompany,അനുഗമിക്കുക
accomplice,ദുഷ്കര്‍മ്മങ്ങളിലെ കൂട്ടാളി
accomplice,കുറ്റക്യത്യത്തില്‍ സഹായിക്കുന്നവന്‍
accomplish,പൂര്‍ത്തിയാക്കുക
accomplish,നേടുക
accomplish,നിറവേറ്റുക
accord,ചേര്‍ച്ച
accord,യോജിപ്പ്
accord,ഒത്തുതീര്‍പ്പ്
accost,ഒരാളെ സമീപിച്ച് സംഭാഷണം തുടങ്ങുക
accost,തടഞ്ഞു നിര്‍ത്തി സംസാരിക്കുക
accost,അടുത്തുകൂടുക
account,എണ്ണല്‍
account,വിവരണം
account,വ്യാപാര ഇടപാട്
accountancy,കണക്കെഴുത്ത്
accountancy,കണക്കപ്പിളള ഉദ്യോഗം
accountant,കണക്കെഴുത്തുകാരന്‍
accountant,കണക്കു പരിശോധകന്‍
accrue,പ്രയോജനപ്പെടുക
accrue,സംഭരിക്കുക
accrue,ഉത്ഭവിക്കുക
accumulate,കൂട്ടിച്ചേര്‍ത്തുവയ്ക്കുക
accumulate,ശേഖരിക്കുക
accumulate,കൂമ്പാരമാക്കുക
accurate,സൂക്ഷ്മമായ
accurate,കൃത്യമായ
accurate,തെറ്റുകൂടാത്ത
accurate,ശരിയായ
accuse,കുറ്റം ചുമത്തുക
accuse,ദോഷാരോപണം ചെയ്യുക
accuse,നിന്ദിക്കുക
accuse,അന്യായപ്പെടുത്തുക
accustom,പരിചയിക്കുക
accustom,ശീലിക്കുക
accustom,അഭ്യസിക്കുക
accustom,തഴക്കം വരുത്തുക
ace,ശീട്ടുകളിയില്‍ എയ്സ് എന്ന ഒരു പുളളി
ace,പ്രാഗല്ഭ്യം
ace,അതിസമര്‍ത്ഥന്‍
ache,വേദന
ache,തീവ്രദുഃഖം
ache,മന:പീഢ
ache,നൊമ്പരം
achieve,നേടുക
achieve,സമ്പാദിക്കുക
achieve,ചെയ്തുതീര്‍ക്കുക
achieve,കൈവരിക്കുക
acid,അമ്ലം
acid,പുളിപ്പ്
acid,നീരസഭാവം
acknowledge,കിട്ടിയ വിവരം സമ്മതിക്കുക
acknowledge,ഏറ്റുപറയുക
acknowledge,വകവച്ചുകൊടുക്കുക
acknowledge,പ്രഖ്യാപനം ചെയ്യുക
acme,ഉച്ചി
acme,പാരമ്യം
acme,രോഗത്തിന്റെ ആപല്‍ഘട്ടം
acme,അഗ്രം
acoustic,ശ്രവണേന്ദ്രിയത്തെ സംബന്ധിച്ച
acoustic,ശബ്ദശാസ്ത്രസംബന്ധമായ
acoustic,ശ്രവണസംബന്ധമായ
acoustics,ശബ്ദ ക്രമീകരണശാസ്ത്രം
acoustics,ശബ്ദഗ്രഹണശാസ്ത്രം
acoustics,ശബ്ദശാസ്ത്രം
acoustics,ഒരു ഹാളിന്റെ ശബ്ദക്രമീകരണ സവിശേഷതകള്‍
acquaint,അറിയിക്കുക
acquaint,വിവരം ധരിപ്പിക്കുക
acquaint,പരിചയപ്പെടുത്തുക
acquaint,അനുഭവപ്പെടുക
acquiesce,തൃപ്തിയടഞ്ഞിരിക്കുക
acquiesce,എതിര്‍വാദം കൂടാതെ സമ്മതിക്കുക
acquiesce,അനുസരിക്കുക
acquire,നേടുക
acquire,സമ്പാദിക്കുക
acquire,കൈക്കലാക്കുക
acquire,ആര്‍ജ്ജിക്കുക
acquit,മോചിപ്പിക്കുക
acquit,ശിക്ഷാര്‍ഹനല്ലാതാക്കുക
acquit,ബന്ധനത്തില്‍ നിന്ന് മോചിപ്പിക്കുക
acquit,അപരാധിയല്ലെന്ന് വിധിക്കുക
acre,ചതുരശ്ര അടിയുളള ഭൂമി അളവ്
acre,ഏക്കര്‍
acrid,ക്രൂരമായ
acrid,അത്യുഗ്രമായ
acrid,എരിവുള്ള
across,മറുവശത്ത്
across,കുറുകെ
